col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
45,189.0929,62.21167,0.46,20.6,75.5,0.38,0.98,12.05,0.17,10.36,0.07,-20.06,0.2,-24.05,0.24,155.35,13.16,5.62,10.7,0.06,10.86,0.06
46,189.31931,62.25323,0.23,20.5,27.0,0.56,0.66,10.11,0.21,9.65,0.13,-21.01,0.44,-23.65,0.5,146.78,3.83,8.07,10.58,0.02,10.75,0.02
47,189.3862,62.3457,0.32,22.31,75.5,0.08,0.99,4.75,0.14,8.99,0.08,-18.07,0.25,-20.75,0.29,92.01,14.26,5.98,9.85,0.11,10.03,0.11
48,189.3634,62.35223,0.28,20.41,45.6,0.0,0.99,7.2,0.9,10.13,0.05,-19.17,0.16,-23.33,0.19,144.96,13.04,3.93,10.42,0.09,10.57,0.09
49,189.18231,62.23253,0.2,20.81,71.4,0.01,1.0,5.7,0.1,9.15,0.09,-18.46,0.29,-21.06,0.33,87.49,7.1,4.86,9.88,0.05,10.05,0.05
50,189.26669,62.25655,0.38,21.85,40.9,0.09,0.93,2.03,0.16,9.22,0.13,-18.77,0.22,-21.73,0.25,65.29,4.53,32.48,9.18,0.06,9.66,0.06
51,189.05879,62.1965,0.29,20.24,75.5,0.69,0.73,7.82,0.13,9.78,0.07,-19.72,0.22,-22.57,0.26,80.35,25.4,12.34,9.94,0.26,10.19,0.26
52,189.37871,62.22451,0.89,22.18,96.3,0.3,0.76,2.61,0.23,9.93,0.19,-20.93,0.55,-24.17,0.63,116.22,20.41,51.55,9.79,0.13,10.23,0.13
53,189.3078,62.22652,0.78,21.42,113.8,0.04,0.65,7.21,0.22,10.28,0.13,-21.12,0.42,-24.47,0.48,201.51,7.99,22.7,10.71,0.03,10.93,0.03
54,189.32401,62.24434,0.41,21.0,94.9,0.02,0.87,4.04,0.17,10.05,0.1,-19.73,0.3,-23.21,0.35,143.52,7.12,26.88,10.16,0.04,10.44,0.04
55,189.4133,62.24857,0.82,21.17,115.1,0.01,0.9,3.69,0.23,10.32,0.13,-21.73,0.22,-25.14,0.25,104.33,4.96,29.65,9.85,0.04,10.19,0.04
56,189.4312,62.27556,0.44,21.18,110.1,0.0,1.0,7.67,0.38,10.02,0.07,-19.73,0.22,-23.37,0.26,118.0,4.86,6.25,10.27,0.03,10.44,0.03
57,189.3436,62.28102,0.84,22.4,87.1,0.14,0.79,4.21,0.52,10.18,0.1,-20.51,0.33,-23.86,0.37,135.32,27.99,30.88,10.13,0.17,10.43,0.17
58,189.27588,62.22587,0.75,21.6,114.9,0.01,0.9,9.45,0.22,10.22,0.09,-20.77,0.28,-24.32,0.32,185.65,60.3,14.45,10.75,0.27,10.94,0.27
